页码,微博ID,微博BID,微博作者,发布时间,微博内容,转发数,评论数,点赞数,焦虑得分
1,4871198795632546,MtScLnDhw,中新经纬,2023-02-20 12:35:58,【#桃李面包公告#回应吃出带锈刀片：已向当地公安部门报警并申请立案调查】#桃李面包净利润已连降两年#2月20日，桃李面包发布公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测机检 ...全文,293,2235,40791,5
1,4870871561013379,MtJGY4fCP,长春西门大官人,2023-02-19 14:55:39,【#女子在桃李面包中吃出2厘米带锈刀片#：不要求赔偿 将请第三方介入鉴定】2月17日，辽宁鞍山，女子发视频称自己在某店内购买了桃李面包的面包，吃出一块2至3公分左右的美工刀刀片。随后，女子联系桃李面包的工作人员，对方表示，生产是没问题的，并给出赔偿方案：以后出新品让女子第一个试吃，女子表 ...全文,3,14,15,6
1,4870879386801758,MtJTAsxrM,美食翁,2023-02-19 15:26:45,#桃李面包中吃出2厘米带锈刀片#女子在桃李面包中吃出2厘米带锈刀片 当事人：将请第三方进入鉴定 南京 美食翁的微博视频 ,32,4,22,5
1,4884892645064946,MzCrClfCG,萌星人日志,2023-03-30 07:30:25,一女子在桃李面包中吃出2厘米带锈刀片。随后，厂家方面称，可赠送面包新品作为补偿 萌星人日志的微博视频 ,0,0,0,2
1,4872014232555198,MudpZaIIS,二三里app官方微博,2023-02-22 18:36:13,鞍山女子在桃李面包里吃出刀片！桃李面包：排除生产过程中存在金属刀片可能性，已报警 近日，鞍山一女子在桃李面包中吃出长约2厘米的生锈刀片。该女子发布视频称，2月13日，自己在超市购买桃李面包并加热，带回家中吃时吃出了一块美工刀刀片，刀片长度2至3厘米，已经生锈。   之后女子公布与桃李面包工 ...全文,0,1,0,6
1,4871936121771027,Mubo07qIX,中国商界杂志社,2023-02-22 13:25:49,【#“刀片风波”袭身 桃李面包最近有点“烦”#】 因为一条“女子在面包中吃出2厘米带锈刀片”的消息，桃李面包登上了微博热搜，引发网友热议。  目前，事件真实情况有待核查。有业内人士认为，如果消息属实，这反映出#桃李面包#的内控体系或不健全。  实际上，作为一家老牌面包企业，桃李面包最近确实 ...全文,0,0,0,3
1,4871251589597727,MtTzUEgO3,新浪财经,2023-02-20 16:05:45,【#盘点桃李面包商业版图#】关于《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，桃李面包发布公告称：已第一时间对工厂内部各生产环节进行安全排查，公司生产过程中不存在使用该类刀片的工艺环节，同时，公司已向鞍山当地公安部门报警，申请立案调查。#桃李面包公告# 企查查APP显示，桃李面包股份有 ...全文,32,27,50,5
1,4871599397800255,Mu2CTwJcz,零售商业财经,2023-02-21 15:07:49,【#面包中惊现锈刀片# ？桃李面包回应：已报警】2月20日，桃李面包发布公告称，公司关注到有媒体报道“女子在桃李面包中吃出 2 厘米带锈刀片”。 桃李面包表示：公司生产过程中不存在使用该类刀片的工艺环节，并且所有的产品都需经过金属检测机检测方可出厂，排除在生产过程中存在金属刀片的可能性。  ...全文,0,0,0,3
1,4871556247846934,Mu1viwVls,侃见财经,2023-02-21 12:16:20,近期，《女子在桃李面包中吃出 2 厘米带锈刀片》的消息登上了热搜。 实际上，此类热搜在往年并不少见。 对于该事件，桃李面包在道歉之余快速的启动了调查，根据桃李面包公告显示，桃李面包在生产过程中不存在使用该类刀片的工艺环节，不仅如此，桃李面包还迅速报警。 对此，侃见财经认为，遇到此类事件 ...全文,0,0,2,3
1,4871230404167440,MtT1Khu8M,小满,2023-02-20 14:41:34,近日，辽宁鞍山一女子在桃李面包中吃出2厘米带锈刀片。随后，厂家方面称，可赠送面包新品作为补偿；超市表示，无法确定面包是否密封；当事人则强调，不要求赔偿，将请第三方介入鉴定。  2月20日，桃李面包发布公告称，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测 ...全文,133,239,612,3
2,4871236649746593,MtTbOETx7,奎文发布,2023-02-20 15:06:22,#桃李面包公告#2月20日，桃李面包发布公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测机检测方可出厂，排除在生产过程中存在金属刀片的可能性。中新经纬的微博视频 ,6,12,18,3
2,4871287904405694,MtUwuiu7A,网易财经,2023-02-20 18:30:03,#桃李面包已报警并申请立案调查#【被曝“吃出刀片” 桃李面包澄清：排除在生产过程中存在金属刀片的可能性】#桃李面包称排除生产过程存在刀片的可能# 桃李面包公告，近日，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，针对报道内容，公司第一时间展开了全面调查，就此 ...全文,4,1,6,3
2,4871233655016247,MtT6Zl2Xd,拆台本尊,2023-02-20 14:54:29,#桃李面包公告#   2月19日，一则“桃李面包中吃出2厘米带锈刀片”话题登上热搜。据了解，有消费者称自己购买的桃李面包中吃出一块2厘米左右的美工刀刀片，刀片已生锈。  视频内容显示，2月17日，辽宁鞍山一女子称自己在某店内购买了桃李面包的面包，吃出一小块美工刀刀片，刀片大约有2厘米左右，且已经 ...全文,1,8,25,5
2,4871262470668927,MtTRt2O19,博望财经,2023-02-20 16:48:59,关于《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，桃李面包发布公告称：已第一时间对工厂内部各生产环节进行安全排查，公司生产过程中不存在使用该类刀片的工艺环节，同时，公司已向鞍山当地公安部门报警，申请立案调查。#桃李面包公告# ,0,0,0,2
2,4871244018616130,MtTnHA9rQ,天津生活本地资讯,2023-02-20 15:35:40,#桃李面包公告##桃李面包回应顾客吃出刀片# 2月20日，桃李面包发布澄清公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出2厘米带锈刀片》的报道，针对报道内容，公司第一时间展开了全面调查。排除在生产过程中存在金属刀片的可能性。公告称，公司高度重视此次客户投诉，并第一时间对工厂内部 ...全文,0,0,2,5
2,4871227505640420,MtSX4nFkw,36氪,2023-02-20 14:30:03,【#桃李面包公告#：已向当地公安部门报警并申请立案调查】 据中新经纬报道，2月20日，桃李面包发布公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测机检测方可出厂，排除在生产过 ...全文,0,3,7,6
3,4871223382902094,MtSQqcaXY,环球旅游攻略咖,2023-02-20 14:13:40,#桃李面包公告#女子在桃李面包中吃出 2 厘米带锈刀片，这如果是真的，这不是要人命吗？食品安全监管可不能放在嘴上说说哦，必须要落到行动上来。 ,0,1,2,7
3,4871223203332897,MtSQ8dZ2p,四川魏静,2023-02-20 14:12:57,【#桃李面包回应吃出2cm带锈刀片#：排除生产过程存在的可能性 已报警】 #消费透视镜# 2月17日，辽宁鞍山，女子发视频称在桃李面包中吃出一块2厘米左右的带锈刀片。20日，桃李面包官微发布情况说明称，已第一时间对工厂内部各生产环节进行安全排查，生产过程中不存在使用该类刀片的工艺环节，并且所有产 ...全文,0,0,2,5
3,4871223042901413,MtSPScaMZ,阿正悟道,2023-02-20 14:12:19,#桃李面包公告#另一条热搜《女子在桃李面包中吃出 2 厘米带锈刀片》，引发了桃李面包的报警：桃李面包称：生产工艺中没有使用该类刀片，流程中也不可能进入该类刀片，是有意栽赃，还是其他情况下的刀片进入？静待报警后的调查及后续报道。 ,0,0,3,3
3,4871197601566730,MtSaQ6zzQ,蓝鲸财经记者工作平台,2023-02-20 12:31:13,#桃李面包回应吃出2厘米带锈刀片# 【桃李面包：已向当地公安部门报警并申请立案调查相关报道】#桃李面包公告# 桃李面包公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测机检测方可 ...全文,3,5,25,6
3,4871211634398008,MtSxtis7C,QuantHedgeFund,2023-02-20 13:26:59,#量化对冲基金#被曝“吃出刀片”，桃李面包发布澄清公告：排除在生产过程中存在金属刀片的可能性 2月20日讯，桃李面包公告，近日，公司关注到有关媒体出现题为《女子在桃李面包中吃出2厘米带锈刀片》的报道，针对报道内容，公司第一时间展开了全面调查，就此次投诉处理过程中给消费者带来不好的消费体 ...全文,0,0,0,3
3,4871200352506419,MtSfhaw27,每日经济新闻,2023-02-20 12:42:09,【#桃李面包报警并申请立案#】#桃李面包报警#  #桃李面包公告#桃李面包公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测机检测方可出厂，排除在生产过程中存在金属刀片的可能性。 ...全文,8,4,12,6
3,4871198024405424,MtSbwiu3e,经济观察报,2023-02-20 12:32:54,#桃李面包回应吃出2厘米带锈刀片# 【桃李面包：已向当地公安部门报警并申请立案调查相关报道】 桃李面包公告称，公司关注到有关媒体出现题为《女子在桃李面包中吃出 2 厘米带锈刀片》的报道，公司生产过程中不存在使用该类刀片的工艺环节，并且公司所有的产品都需经过金属检测机检测方可出厂，排除在生 ...全文,2,2,2,5
